DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 06:25:20,296,5026,0,113.609,121.67,2513,219,550347,0,0,38.925,94.659
2025-10-18 06:25:22,296,5683,0,102.815,139.016,2841.5,219,622288.5,0,0,26.689,101.232
2025-10-18 06:25:24,296,6861,0,86.201,136.113,3430.5,219,751279.5,0,0,11.908,84.618
2025-10-18 06:25:26,296,6458,0,86.11,119.122,3229,219,707151,0,0,13.388,85.145
2025-10-18 06:25:28,296,9006,0,67.722,119.465,4503,219,986157,0,0,3.802,67.103
2025-10-18 06:25:30,296,10545,0,54.991,87.845,5272.5,219,1154677.5,0,0,1.875,54.413
2025-10-18 06:25:32,296,9099,0,65.287,116.253,4549.5,219,996340.5,0,0,1.869,64.544
2025-10-18 06:25:34,296,8544,0,67.419,134.154,4272,219,935568,0,0,1.782,66.903
2025-10-18 06:25:36,296,14528,0,45.168,85.15,7264,219,1590816,0,0,1.179,44.747
2025-10-18 06:25:38,296,20001,0,29.442,41.34,10000.5,219,2190109.5,0,0,0.744,29.137
2025-10-18 06:25:40,296,21472,0,21.513,32.932,10736,219,2351184,0,0,0.646,21.244
2025-10-18 06:25:42,296,22607,0,31.749,108.578,11303.5,219,2475466.5,0,0,10.727,31.486
2025-10-18 06:25:44,296,20891,0,28.055,38.482,10445.5,219,2287564.5,0,0,0.715,27.77
2025-10-18 06:25:46,296,21853,0,27.07,38.253,10926.5,219,2392903.5,0,0,0.796,26.799
2025-10-18 06:25:48,296,21899,0,27.009,37.356,10949.5,219,2397940.5,0,0,0.707,26.733
2025-10-18 06:25:50,296,22091,0,26.576,36.035,11045.5,219,2418964.5,0,0,0.668,26.308
2025-10-18 06:25:52,296,22463,0,26.422,35.397,11231.5,219,2459698.5,0,0,0.638,26.13
2025-10-18 06:25:54,296,23399,0,24.903,34.171,11699.5,219,2562190.5,0,0,0.604,24.664
2025-10-18 06:25:56,296,24102,0,24.613,40.392,12051,219,2639169,0,0,1.133,24.371
2025-10-18 06:25:58,296,23424,0,25.073,38.543,11712,219,2564928,0,0,0.852,24.801
2025-10-18 06:26:00,296,22433,0,26.377,37.676,11216.5,219,2456413.5,0,0,0.737,26.129
2025-10-18 06:26:02,296,18872,0,31.094,43.497,9436,219,2066484,0,0,1.049,30.721
2025-10-18 06:26:04,296,20865,0,28.306,38.885,10432.5,219,2284717.5,0,0,0.85,27.991
2025-10-18 06:26:06,296,21150,0,27.833,38.744,10575,219,2315925,0,0,0.773,27.496
2025-10-18 06:26:08,296,20013,0,29.433,40.658,10006.5,219,2191423.5,0,0,0.868,29.132
2025-10-18 06:26:10,296,22171,0,26.534,36.721,11085.5,219,2427724.5,0,0,0.767,26.242
