DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 06:07:48,259,925,0,201.671,149.83,462.5,219,101287.5,0,0,47.777,159.309
2025-10-18 06:07:50,296,4293,0,157.285,164.535,2146.5,219,470083.5,0,0,40.506,144.652
2025-10-18 06:07:52,296,4370,0,138.598,192.666,2185,219,478515,0,0,9.25,137.339
2025-10-18 06:07:54,296,4693,0,127.998,194.256,2346.5,219,513883.5,0,0,9.827,125.852
2025-10-18 06:07:56,296,7584,0,79.583,124.598,3792,219,830448,0,0,8.123,78.861
2025-10-18 06:07:58,296,8741,0,66.427,110.3,4370.5,219,957139.5,0,0,3.501,65.88
2025-10-18 06:08:00,296,11778,0,50.696,80.596,5889,219,1289691,0,0,1.739,50.248
2025-10-18 06:08:02,296,9986,0,58.017,100.978,4993,219,1093467,0,0,2.045,57.438
2025-10-18 06:08:04,296,9650,0,62.341,115.515,4825,219,1056675,0,0,1.487,61.809
2025-10-18 06:08:06,296,13100,0,46.222,82.983,6550,219,1434450,0,0,0.924,45.807
2025-10-18 06:08:08,296,19531,0,30.172,40.764,9765.5,219,2138644.5,0,0,0.848,29.854
2025-10-18 06:08:10,296,21343,0,27.626,57.15,10671.5,219,2337058.5,0,0,2.443,27.338
2025-10-18 06:08:12,296,22544,0,26.238,35.553,11272,219,2468568,0,0,0.667,25.937
2025-10-18 06:08:14,296,22616,0,26.08,34.494,11308,219,2476452,0,0,0.621,25.816
2025-10-18 06:08:16,296,19238,0,30.411,43.126,9619,219,2106561,0,0,0.968,30.098
2025-10-18 06:08:18,296,18336,0,32.055,45.567,9168,219,2007792,0,0,1.109,31.709
2025-10-18 06:08:20,296,21758,0,27.326,36.996,10879,219,2382501,0,0,0.659,27.064
2025-10-18 06:08:22,296,21651,0,27.264,36.308,10825.5,219,2370784.5,0,0,0.666,26.941
2025-10-18 06:08:24,296,21603,0,27.146,36.652,10801.5,219,2365528.5,0,0,0.64,26.871
2025-10-18 06:08:26,296,22176,0,26.605,35.659,11088,219,2428272,0,0,0.644,26.314
2025-10-18 06:08:28,296,18922,0,31.139,41.602,9461,219,2071959,0,0,0.834,30.79
2025-10-18 06:08:30,296,21114,0,27.895,37.613,10557,219,2311983,0,0,0.721,27.617
2025-10-18 06:08:32,296,22328,0,26.252,35.371,11164,219,2444916,0,0,0.677,25.984
2025-10-18 06:08:34,296,21283,0,27.782,37.88,10641.5,219,2330488.5,0,0,0.752,27.498
2025-10-18 06:08:36,296,22418,0,26.349,35.696,11209,219,2454771,0,0,0.633,26.074
2025-10-18 06:08:38,296,22683,0,26.008,34.063,11341.5,219,2483788.5,0,0,0.631,25.758
