DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:05:54,296,3169,0,106.978,124.678,1584.5,230,364435,0,0,31.842,87.737
2025-10-18 05:05:56,296,6503,0,93.195,159.485,3251.5,230,747845,0,0,23.189,87.045
2025-10-18 05:05:58,296,6914,0,85.902,136.737,3457,230,795110,0,0,2.353,85.252
2025-10-18 05:06:00,296,6891,0,89.437,141.387,3445.5,230,792465,0,0,1.34,88.77
2025-10-18 05:06:02,296,9202,0,64.471,95.728,4601,230,1058230,0,0,1.03,64.05
2025-10-18 05:06:04,296,10715,0,53.17,73.749,5357.5,230,1232225,0,0,0.843,52.741
2025-10-18 05:06:06,296,8152,0,68.342,110.297,4076,230,937480,0,0,0.838,67.864
2025-10-18 05:06:08,296,7749,0,78.881,135.355,3874.5,230,891135,0,0,1.007,78.361
2025-10-18 05:06:10,296,11835,0,51.879,83.723,5917.5,230,1361025,0,0,0.665,51.531
2025-10-18 05:06:12,296,15829,0,37.486,49.687,7914.5,230,1820335,0,0,0.49,37.2
2025-10-18 05:06:14,296,16674,0,35.288,46.421,8337,230,1917510,0,0,0.482,35.009
2025-10-18 05:06:16,296,16743,0,35.436,46.003,8371.5,230,1925445,0,0,0.478,35.168
2025-10-18 05:06:18,296,16057,0,36.565,47.064,8028.5,230,1846555,0,0,0.502,36.282
2025-10-18 05:06:20,296,15338,0,38.485,49.543,7669,230,1763870,0,0,0.543,38.168
2025-10-18 05:06:22,296,15670,0,37.632,49.228,7835,230,1802050,0,0,0.543,37.291
2025-10-18 05:06:24,296,15043,0,39.248,50.859,7521.5,230,1729945,0,0,0.58,38.939
2025-10-18 05:06:26,296,15846,0,37.485,49.294,7923,230,1822290,0,0,0.65,37.186
2025-10-18 05:06:28,296,16077,0,36.708,47.104,8038.5,230,1848855,0,0,0.487,36.417
2025-10-18 05:06:30,296,16347,0,36.023,46.471,8173.5,230,1879905,0,0,0.486,35.736
2025-10-18 05:06:32,296,17168,0,35.355,45.356,8584,230,1974320,0,0,0.519,35.08
2025-10-18 05:06:34,296,11775,0,48.538,64.886,5887.5,230,1354125,0,0,1.116,48.063
2025-10-18 05:06:36,296,15228,0,38.816,49.732,7614,230,1751220,0,0,0.578,38.516
2025-10-18 05:06:38,296,14383,0,40.992,52.478,7191.5,230,1654045,0,0,0.697,40.629
2025-10-18 05:06:40,296,15705,0,37.743,48.69,7852.5,230,1806075,0,0,0.544,37.442
2025-10-18 05:06:42,296,16443,0,35.9,46.783,8221.5,230,1890945,0,0,0.477,35.632
2025-10-18 05:06:44,296,15935,0,37.025,48.065,7967.5,230,1832525,0,0,0.505,36.719
2025-10-18 05:06:46,296,15954,0,38.151,50.406,7977,230,1834710,0,0,0.574,37.848
