DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:02:54,99,1992,0,108.759,118.614,996,230,229080,0,0,16.498,90.881
2025-10-18 05:02:56,99,4753,0,40.713,39.31,2376.5,230,546595,0,0,2.989,40.102
2025-10-18 05:02:58,99,5543,0,35.756,39.721,2771.5,230,637445,0,0,2.787,35.071
2025-10-18 05:03:00,99,10641,0,18.362,22.725,5320.5,230,1223715,0,0,1.224,17.899
2025-10-18 05:03:02,99,14143,0,13.966,18.377,7071.5,230,1626445,0,0,0.86,13.66
2025-10-18 05:03:04,99,17704,0,11.111,12.235,8852,230,2035960,0,0,0.734,10.878
2025-10-18 05:03:06,99,17781,0,11.027,12.014,8890.5,230,2044815,0,0,0.785,10.783
2025-10-18 05:03:08,99,16577,0,11.804,12.142,8288.5,230,1906355,0,0,1.138,11.47
2025-10-18 05:03:10,99,20842,0,9.404,9.813,10421,230,2396830,0,0,0.774,9.183
2025-10-18 05:03:12,99,20537,0,9.545,10.646,10268.5,230,2361755,0,0,0.696,9.36
2025-10-18 05:03:14,99,20473,0,9.567,10.701,10236.5,230,2354395,0,0,0.652,9.33
2025-10-18 05:03:16,99,20039,0,9.801,11.602,10019.5,230,2304485,0,0,0.612,9.608
2025-10-18 05:03:18,99,19996,0,9.818,10.442,9998,230,2299540,0,0,0.708,9.603
2025-10-18 05:03:20,99,20083,0,9.755,11.639,10041.5,230,2309545,0,0,0.609,9.553
2025-10-18 05:03:22,99,20763,0,9.44,10.789,10381.5,230,2387745,0,0,0.624,9.235
2025-10-18 05:03:24,99,19673,0,9.988,10.858,9836.5,230,2262395,0,0,0.737,9.763
2025-10-18 05:03:26,99,20440,0,9.608,10.634,10220,230,2350600,0,0,0.639,9.404
2025-10-18 05:03:28,99,20814,0,9.404,10.83,10407,230,2393610,0,0,0.611,9.21
2025-10-18 05:03:30,99,20636,0,9.509,10.553,10318,230,2373140,0,0,0.633,9.314
2025-10-18 05:03:32,99,20471,0,9.584,10.563,10235.5,230,2354165,0,0,0.686,9.396
2025-10-18 05:03:34,99,20515,0,9.543,10.324,10257.5,230,2359225,0,0,0.676,9.334
2025-10-18 05:03:36,99,20272,0,9.7,10.897,10136,230,2331280,0,0,0.592,9.515
2025-10-18 05:03:38,99,20629,0,9.492,10.754,10314.5,230,2372335,0,0,0.683,9.304
2025-10-18 05:03:40,99,20752,0,9.464,10.424,10376,230,2386480,0,0,0.646,9.237
2025-10-18 05:03:42,99,20862,0,9.372,10.525,10431,230,2399130,0,0,0.619,9.18
2025-10-18 05:03:44,99,20117,0,9.74,11.421,10058.5,230,2313455,0,0,0.663,9.515
2025-10-18 05:03:46,99,20577,0,9.551,10.231,10288.5,230,2366355,0,0,0.67,9.365
2025-10-18 05:03:48,99,20630,0,9.525,10.931,10315,230,2372450,0,0,0.607,9.343
