DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:47:12,259,1373,0,320.928,304.541,686.5,219,150343.5,0,0,73.661,240.135
2025-10-18 05:47:14,296,3344,0,158.249,154.841,1672,219,366168,0,0,33.899,148.219
2025-10-18 05:47:16,296,5058,0,129.436,290.397,2529,219,553851,0,0,27.821,125.753
2025-10-18 05:47:18,296,7102,0,86.081,114.408,3551,219,777669,0,0,10.369,85.064
2025-10-18 05:47:20,296,9724,0,60.553,79.72,4862,219,1064778,0,0,8.985,59.904
2025-10-18 05:47:22,296,9547,0,60.783,87.863,4773.5,219,1045396.5,0,0,7.104,60.08
2025-10-18 05:47:24,296,9388,0,61.287,110.082,4694,219,1027986,0,0,1.677,60.749
2025-10-18 05:47:26,296,7878,0,69.523,124.714,3939,219,862641,0,0,2.23,68.795
2025-10-18 05:47:28,296,8521,0,74.641,144.951,4260.5,219,933049.5,0,0,3.439,73.903
2025-10-18 05:47:30,296,13946,0,44.688,86.547,6973,219,1527087,0,0,0.892,44.272
2025-10-18 05:47:32,296,21650,0,27.334,38.025,10825,219,2370675,0,0,0.662,27.06
2025-10-18 05:47:34,296,16863,0,26.273,36.491,8431.5,219,1846498.5,0,0,0.579,26.053
2025-10-18 05:47:36,296,20272,0,33.396,52.435,10136,219,2219784,0,0,1.034,33.049
2025-10-18 05:47:38,296,24748,0,29.521,40.015,12374,219,2709906,0,0,0.817,29.219
2025-10-18 05:47:40,296,20246,0,29.448,57.009,10123,219,2216937,0,0,2.46,29.151
2025-10-18 05:47:42,296,22457,0,26.294,35.192,11228.5,219,2459041.5,0,0,0.688,26.027
2025-10-18 05:47:44,296,22254,0,26.519,36.263,11127,219,2436813,0,0,0.63,26.246
2025-10-18 05:47:46,296,21835,0,26.928,36.06,10917.5,219,2390932.5,0,0,0.723,26.641
2025-10-18 05:47:49,296,19437,0,30.23,40.959,9718.5,219,2128351.5,0,0,0.909,29.872
2025-10-18 05:47:51,296,20599,0,28.463,42.732,10299.5,219,2255590.5,0,0,0.995,28.156
2025-10-18 05:47:53,296,22743,0,26.07,38.045,11371.5,219,2490358.5,0,0,0.821,25.779
2025-10-18 05:47:55,296,22478,0,26.276,35.879,11239,219,2461341,0,0,0.664,26.011
2025-10-18 05:47:57,296,22865,0,25.713,34.421,11432.5,219,2503717.5,0,0,0.667,25.445
2025-10-18 05:47:59,296,22889,0,26.571,35.228,11444.5,219,2506345.5,0,0,0.627,26.317
2025-10-18 05:48:01,296,22033,0,26.72,36.284,11016.5,219,2412613.5,0,0,0.627,26.444
2025-10-18 05:48:03,296,22587,0,26.129,35.382,11293.5,219,2473276.5,0,0,0.632,25.866
