DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:11:49,296,2132,0,167.407,232.788,1066,1433,1527578,0,0,44.428,159.88
2025-10-18 05:11:51,296,8837,0,92.597,210.898,4418.5,1433,6331710.5,0,0,23.141,91.362
2025-10-18 05:11:53,296,8710,0,61.856,69.041,4355,1433,6240715,0,0,19.448,60.893
2025-10-18 05:11:55,296,6672,0,95.737,149.458,3336,1433,4780488,0,0,42.417,94.487
2025-10-18 05:11:57,296,11395,0,50.717,37.74,5697.5,1433,8164517.5,0,0,17.17,49.726
2025-10-18 05:11:59,296,11455,0,48.731,99.295,5727.5,1433,8207507.5,0,0,20.913,48.193
2025-10-18 05:12:01,296,11607,0,49.968,136.654,5803.5,1433,8316415.5,0,0,25.361,49.493
2025-10-18 05:12:03,296,14102,0,43.6,127.713,7051,1433,10104083,0,0,20.516,43.215
2025-10-18 05:12:05,296,14508,0,42.014,116.07,7254,1433,10394982,0,0,18.341,41.722
2025-10-18 05:12:07,296,24341,0,24.521,54.198,12170.5,1433,17440326.5,0,0,4.635,24.321
2025-10-18 05:12:09,296,24464,0,23.547,59.632,12232,1433,17528456,0,0,5.019,23.363
2025-10-18 05:12:11,296,24569,0,24.177,43.157,12284.5,1433,17603688.5,0,0,4.023,23.96
2025-10-18 05:12:13,296,24705,0,23.667,27.076,12352.5,1433,17701132.5,0,0,2.613,23.464
2025-10-18 05:12:15,296,24524,0,23.782,61.9,12262,1433,17571446,0,0,5.211,23.584
2025-10-18 05:12:17,296,24906,0,23.719,40.988,12453,1433,17845149,0,0,3.44,23.508
2025-10-18 05:12:19,296,24760,0,24.068,77.472,12380,1433,17740540,0,0,7.352,23.886
2025-10-18 05:12:21,296,26692,0,20.203,34.629,13346,1433,19124818,0,0,2.434,19.983
2025-10-18 05:12:23,296,25110,0,24.684,80.851,12555,1433,17991315,0,0,7.674,24.484
2025-10-18 05:12:25,296,22191,0,24.048,87.821,11095.5,1433,15899851.5,0,0,8.577,23.803
2025-10-18 05:12:27,296,25668,0,24.49,76.828,12834,1433,18391122,0,0,4.315,24.273
2025-10-18 05:12:29,296,26511,0,22.408,60.334,13255.5,1433,18995131.5,0,0,4.713,22.217
2025-10-18 05:12:31,296,26026,0,22.824,39.372,13013,1433,18647629,0,0,2.581,22.584
2025-10-18 05:12:33,296,26133,0,22.67,73.546,13066.5,1433,18724294.5,0,0,6.361,22.474
2025-10-18 05:12:35,296,26053,0,21.531,44.76,13026.5,1433,18666974.5,0,0,3.133,21.338
2025-10-18 05:12:37,296,24978,0,24.873,69.47,12489,1433,17896737,0,0,5.632,24.662
2025-10-18 05:12:39,296,26502,0,19.201,46.644,13251,1433,18988683,0,0,3.246,18.999
