DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 06:02:34,296,874,0,293.72,159.348,437,230,100510,0,0,38.84,252.897
2025-10-18 06:02:36,296,2621,0,263.313,288.098,1310.5,230,301415,0,0,80.25,248.35
2025-10-18 06:02:38,296,3257,0,192.541,239.072,1628.5,230,374555,0,0,14.342,191.507
2025-10-18 06:02:40,296,4646,0,125.671,156.653,2323,230,534290,0,0,3.427,124.807
2025-10-18 06:02:42,296,5382,0,110.792,174.655,2691,230,618930,0,0,1.895,110.148
2025-10-18 06:02:44,296,5238,0,110.616,179.342,2619,230,602370,0,0,1.808,109.861
2025-10-18 06:02:46,296,9371,0,66.833,103.712,4685.5,230,1077665,0,0,1.041,66.396
2025-10-18 06:02:48,296,11149,0,51.608,68.152,5574.5,230,1282135,0,0,0.876,51.19
2025-10-18 06:02:50,296,7487,0,80.513,120.551,3743.5,230,861005,0,0,0.934,80.052
2025-10-18 06:02:52,296,7684,0,78.211,137.316,3842,230,883660,0,0,0.808,77.648
2025-10-18 06:02:54,296,11691,0,50.217,81.119,5845.5,230,1344465,0,0,0.612,49.908
2025-10-18 06:02:56,296,15797,0,37.562,49.796,7898.5,230,1816655,0,0,0.507,37.277
2025-10-18 06:02:58,296,15635,0,37.894,48.57,7817.5,230,1798025,0,0,0.516,37.593
2025-10-18 06:03:00,296,15334,0,38.405,49.394,7667,230,1763410,0,0,0.492,38.142
2025-10-18 06:03:02,296,16374,0,36.171,46.293,8187,230,1883010,0,0,0.489,35.89
2025-10-18 06:03:04,296,16372,0,36.015,47.607,8186,230,1882780,0,0,0.444,35.764
2025-10-18 06:03:06,296,16465,0,35.717,45.774,8232.5,230,1893475,0,0,0.47,35.417
2025-10-18 06:03:08,296,16639,0,35.261,52.518,8319.5,230,1913485,0,0,1.13,34.973
2025-10-18 06:03:10,296,15847,0,37.481,52.821,7923.5,230,1822405,0,0,0.894,37.207
2025-10-18 06:03:12,296,15723,0,37.565,47.586,7861.5,230,1808145,0,0,0.532,37.254
2025-10-18 06:03:14,296,16279,0,36.376,47.273,8139.5,230,1872085,0,0,0.498,36.088
2025-10-18 06:03:16,296,16589,0,35.661,46.205,8294.5,230,1907735,0,0,0.507,35.387
2025-10-18 06:03:18,296,16207,0,36.383,45.993,8103.5,230,1863805,0,0,0.472,36.099
2025-10-18 06:03:20,296,16278,0,36.302,45.589,8139,230,1871970,0,0,0.477,36.021
2025-10-18 06:03:22,296,16323,0,36.198,44.979,8161.5,230,1877145,0,0,0.469,35.873
2025-10-18 06:03:24,296,16743,0,35.17,50.597,8371.5,230,1925445,0,0,1.027,34.896
2025-10-18 06:03:26,296,16291,0,36.347,46.185,8145.5,230,1873465,0,0,0.487,36.076
