DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:36:40,296,187,0,842.663,270.111,93.5,1433,133985.5,0,0,93.508,823.444
2025-10-18 05:36:42,296,525,0,1369.539,235.298,262.5,1433,376162.5,0,0,44.853,1366.109
2025-10-18 05:36:44,296,633,0,1077.58,368.995,316.5,1433,453544.5,0,0,2.457,1073.014
2025-10-18 05:36:46,296,668,0,893.527,314.397,334,1433,478622,0,0,2.876,891.943
2025-10-18 05:36:48,296,895,0,707.585,224.577,447.5,1433,641267.5,0,0,1.575,706.68
2025-10-18 05:36:50,296,1111,0,544.185,140.675,555.5,1433,796031.5,0,0,0.802,543.473
2025-10-18 05:36:52,296,1181,0,508.71,116.145,590.5,1433,846186.5,0,0,0.545,507.787
2025-10-18 05:36:54,296,1201,0,487.16,91.419,600.5,1433,860516.5,0,0,0.521,486.688
2025-10-18 05:36:56,296,1116,0,524.344,132.558,558,1433,799614,0,0,0.519,523.86
2025-10-18 05:36:58,296,1038,0,581.293,170.133,519,1433,743727,0,0,0.631,580.822
2025-10-18 05:37:00,296,1224,0,491.438,109.7,612,1433,876996,0,0,0.475,491.016
2025-10-18 05:37:03,296,924,0,473.122,98.718,462,1433,662046,0,0,0.461,472.734
2025-10-18 05:37:05,296,1288,0,520.558,160.094,644,1433,922852,0,0,0.495,520.141
2025-10-18 05:37:07,296,1430,0,508.175,101.64,715,1433,1024595,0,0,0.471,507.787
2025-10-18 05:37:09,296,1216,0,494.879,113.456,608,1433,871264,0,0,0.471,494.521
2025-10-18 05:37:11,296,1259,0,474.45,114.072,629.5,1433,902073.5,0,0,0.45,474.098
2025-10-18 05:37:13,296,1262,0,466.055,95.464,631,1433,904223,0,0,0.429,465.735
2025-10-18 05:37:15,296,1304,0,454.921,83.1,652,1433,934316,0,0,0.419,454.564
2025-10-18 05:37:17,296,1310,0,454.413,79.061,655,1433,938615,0,0,0.387,454.051
2025-10-18 05:37:19,296,1264,0,463.777,96.713,632,1433,905656,0,0,0.422,463.422
2025-10-18 05:37:21,296,1160,0,504.415,110.189,580,1433,831140,0,0,0.478,504.073
2025-10-18 05:37:23,296,1222,0,492.821,102.361,611,1433,875563,0,0,0.453,492.093
2025-10-18 05:37:25,296,1213,0,483.55,83.264,606.5,1433,869114.5,0,0,0.387,483.195
2025-10-18 05:37:27,296,1179,0,502.649,101.456,589.5,1433,844753.5,0,0,0.45,502.299
2025-10-18 05:37:29,296,1285,0,468.07,105.656,642.5,1433,920702.5,0,0,0.468,467.76
2025-10-18 05:37:31,296,1271,0,460.725,66.424,635.5,1433,910671.5,0,0,0.395,460.398
