DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-17 17:29:00,4,4,2,1331.5,450.494,2,140.25,280.5,1,0,0.25,33.25
2025-10-17 17:29:02,4,4,2,1141.25,445.648,2,220.5,441,2,0,0.5,3.25
2025-10-17 17:29:04,4,3,3,1322.667,107.115,1.5,60,90,0,0,0,1.333
2025-10-17 17:29:06,4,3,3,1259.667,83.874,1.5,60,90,0,0,0,2
2025-10-17 17:29:08,4,3,3,1395.667,99.63,1.5,60,90,0,0,0,1.333
2025-10-17 17:29:10,4,4,4,1137.25,65.675,2,60,120,0,0,0,1
2025-10-17 17:29:12,4,2,2,1658,16,1,60,60,0,0,0,1.5
2025-10-17 17:29:14,4,5,4,923,334.953,2.5,188.4,471,2,0,0.2,1.8
2025-10-17 17:29:16,4,6,2,733.667,300.88,3,274,822,4,0,0.333,2.333
2025-10-17 17:29:18,4,4,1,1397.25,802.842,2,262.75,525.5,3,0,0.5,1.5
2025-10-17 17:29:20,4,3,2,987.333,503.877,1.5,167,250.5,1,0,0.667,2.333
2025-10-17 17:29:22,4,2,3,1761,12,1,60,60,0,0,0,1
2025-10-17 17:29:24,4,4,3,1352.5,195.011,2,60,120,0,0,0,1
2025-10-17 17:29:26,4,2,2,1473,149,1,60,60,0,0,0,1
2025-10-17 17:29:28,4,3,3,1484.333,131.556,1.5,60,90,0,0,0,1
2025-10-17 17:29:30,4,3,2,1348,628.449,1.5,167,250.5,1,0,0.333,1.667
2025-10-17 17:29:32,4,2,3,1686,66,1,60,60,0,0,0,1
2025-10-17 17:29:34,4,3,2,1638.667,189.34,1.5,60,90,0,0,0,1
2025-10-17 17:29:36,4,3,3,1325.333,92.687,1.5,60,90,0,0,0,1
2025-10-17 17:29:38,4,3,2,939,303.671,1.5,274,411,2,0,0.333,1.333
2025-10-17 17:29:40,4,5,3,1125.8,476.152,2.5,188.4,471,2,0,0.4,2
2025-10-17 17:29:42,4,4,2,776.5,127.594,2,300.75,601.5,3,0,0.25,1.75
2025-10-17 17:29:44,4,4,2,1095,281.55,2,300.75,601.5,3,0,0.25,1.5
2025-10-17 17:29:46,4,4,2,876,212.395,2,300.75,601.5,3,0,0.25,1.75
2025-10-17 17:29:48,4,6,2,893.667,435.935,3,274,822,4,0,0.5,1.667
2025-10-17 17:29:50,4,3,3,1030,94.195,1.5,60,90,0,0,0,1.333
2025-10-17 17:29:52,4,3,3,1180.333,78.083,1.5,60,90,0,0,0,1
2025-10-17 17:29:54,4,3,2,1354.667,68.665,1.5,60,90,0,0,0,1
