DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2025-10-17 15:05:44,4,85,0,114.118,39.431,42.5,19.976,849,3,0,2.082,60.365,좋아요 추가,41,0,103.854,24.278,20.5,16,328,0,0,0.146,0.146,좋아요 취소,44,0,123.682,47.589,22,23.682,521,3,0,3.886,116.477
2025-10-17 15:05:46,4,66,0,121.561,22.538,33,19.394,640,0,0,0.288,61.53,좋아요 추가,34,0,115.765,20.906,17,16,272,0,0,0.029,0.029,좋아요 취소,32,0,127.719,22.575,16,23,368,0,0,0.562,126.875
2025-10-17 15:05:48,4,91,0,86.462,18.191,45.5,19.538,889,0,0,0.275,45.681,좋아요 추가,45,0,81.867,17.194,22.5,16,360,0,0,0.044,0.044,좋아요 취소,46,0,90.957,18.016,23,23,529,0,0,0.5,90.326
2025-10-17 15:05:50,4,67,0,119.507,31.714,33.5,19.448,651.5,0,0,0.224,62.328,좋아요 추가,34,0,111.853,29.532,17,16,272,0,0,0,6.029,좋아요 취소,33,0,127.394,31.952,16.5,23,379.5,0,0,0.455,120.333
2025-10-17 15:05:52,4,78,0,101.551,20.386,39,19.5,760.5,0,0,0.256,52.474,좋아요 추가,39,0,97.436,19.27,19.5,16,312,0,0,0.026,0.026,좋아요 취소,39,0,105.667,20.639,19.5,23,448.5,0,0,0.487,104.923
2025-10-17 15:05:54,4,82,0,97.524,25.345,41,19.585,803,0,0,0.305,52.195,좋아요 추가,40,0,92.45,23.627,20,16,320,0,0,0.075,0.075,좋아요 취소,42,0,102.357,25.972,21,23,483,0,0,0.524,101.833
2025-10-17 15:05:56,4,87,0,92.943,25.139,43.5,19.46,846.5,0,0,0.195,48.034,좋아요 추가,44,0,88.205,23.444,22,16,352,0,0,0,0,좋아요 취소,43,0,97.791,25.879,21.5,23,494.5,0,0,0.395,97.186
2025-10-17 15:05:58,4,64,0,122.484,64.372,32,19.5,624,0,0,0.219,63.922,좋아요 추가,32,0,116.688,65.516,16,16,256,0,0,0,0,좋아요 취소,32,0,128.281,62.674,16,23,368,0,0,0.438,127.844
2025-10-17 15:06:00,4,84,0,95.905,25.701,42,19.5,819,0,0,0.214,50.702,좋아요 추가,42,0,90,23.201,21,16,336,0,0,0.024,2.405,좋아요 취소,42,0,101.81,26.703,21,23,483,0,0,0.405,99
2025-10-17 15:06:02,4,90,0,90.3,23.105,45,19.5,877.5,0,0,0.222,47.844,좋아요 추가,45,0,84.422,20.604,22.5,16,360,0,0,0,7.089,좋아요 취소,45,0,96.178,23.96,22.5,23,517.5,0,0,0.444,88.6
2025-10-17 15:06:04,4,79,0,99.937,24.113,39.5,19.456,768.5,0,0,0.203,52.291,좋아요 추가,40,0,93.675,20.64,20,16,320,0,0,0.025,5.025,좋아요 취소,39,0,106.359,25.678,19.5,23,448.5,0,0,0.385,100.769
2025-10-17 15:06:06,4,72,0,111.917,25.302,36,19.5,702,0,0,0.208,59.167,좋아요 추가,36,0,105.167,24.428,18,16,288,0,0,0.028,3.917,좋아요 취소,36,0,118.667,24.341,18,23,414,0,0,0.389,114.417
2025-10-17 15:06:08,4,76,0,103.066,25.36,38,19.592,744.5,0,0,0.237,56.132,좋아요 추가,37,0,95.973,20.82,18.5,16,296,0,0,0.027,0.027,좋아요 취소,39,0,109.795,27.368,19.5,23,448.5,0,0,0.436,109.359
2025-10-17 15:06:10,4,91,0,89.484,21.761,45.5,19.462,885.5,0,0,0.198,45.956,좋아요 추가,46,0,85.587,20.92,23,16,368,0,0,0,1.848,좋아요 취소,45,0,93.467,21.883,22.5,23,517.5,0,0,0.4,91.044
