DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-18 05:55:52,296,3675,0,79.266,90.355,1837.5,219,402412.5,0,0,23.851,64.74
2025-10-18 05:55:54,296,8194,0,74.59,98.673,4097,219,897243,0,0,24.234,68.487
2025-10-18 05:55:56,296,7300,0,79.37,98.594,3650,219,799350,0,0,13.173,78.215
2025-10-18 05:55:58,296,8262,0,71.358,120.307,4131,219,904689,0,0,18.594,70.329
2025-10-18 05:56:00,296,8203,0,72.043,75.074,4101.5,219,898228.5,0,0,16.556,71.207
2025-10-18 05:56:03,296,8171,0,70.783,118.97,4085.5,219,894724.5,0,0,4.038,70.093
2025-10-18 05:56:05,296,9515,0,61.201,118.578,4757.5,219,1041892.5,0,0,5.482,60.667
2025-10-18 05:56:07,296,9891,0,60.578,105.285,4945.5,219,1083064.5,0,0,1.112,60.189
2025-10-18 05:56:09,296,11290,0,53.459,88.965,5645,219,1236255,0,0,1.032,53.018
2025-10-18 05:56:11,296,17395,0,34.156,50.149,8697.5,219,1904752.5,0,0,0.969,33.831
2025-10-18 05:56:13,296,20571,0,28.679,39.902,10285.5,219,2252524.5,0,0,0.683,28.394
2025-10-18 05:56:15,296,22221,0,26.601,36.099,11110.5,219,2433199.5,0,0,0.672,26.317
2025-10-18 05:56:17,296,22372,0,26.294,35.705,11186,219,2449734,0,0,0.644,26.027
2025-10-18 05:56:19,296,21440,0,27.463,36.717,10720,219,2347680,0,0,0.667,27.197
2025-10-18 05:56:21,296,20795,0,28.341,38.42,10397.5,219,2277052.5,0,0,0.702,28.052
2025-10-18 05:56:23,296,19478,0,30.235,41.212,9739,219,2132841,0,0,0.879,29.867
2025-10-18 05:56:25,296,20530,0,28.749,39.061,10265,219,2248035,0,0,0.755,28.453
2025-10-18 05:56:27,296,20652,0,28.461,38.756,10326,219,2261394,0,0,0.858,28.127
2025-10-18 05:56:29,296,21103,0,27.95,38.038,10551.5,219,2310778.5,0,0,0.69,27.666
2025-10-18 05:56:31,296,21118,0,27.838,37.316,10559,219,2312421,0,0,0.802,27.541
2025-10-18 05:56:33,296,21385,0,27.601,37.68,10692.5,219,2341657.5,0,0,0.68,27.334
2025-10-18 05:56:35,296,21896,0,26.916,36.276,10948,219,2397612,0,0,0.642,26.673
2025-10-18 05:56:37,296,22895,0,25.802,34.074,11447.5,219,2507002.5,0,0,0.605,25.534
2025-10-18 05:56:39,296,22459,0,26.168,34.759,11229.5,219,2459260.5,0,0,0.634,25.929
2025-10-18 05:56:41,296,22528,0,26.206,35.479,11264,219,2466816,0,0,0.644,25.922
2025-10-18 05:56:43,296,22314,0,26.398,36.679,11157,219,2443383,0,0,0.725,26.126
